,회사명,거래소코드,회계년도,부실판단
8352,주식회사우제,74402,2017,1
8353,주식회사진성개발,74403,2018,1
8354,두원상선(주),74408,2016,1
8355,(주)송도해상케이블카,74416,2016,1
8356,(주)슈스파글로벌,74431,2016,1
8357,주식회사천광디엔씨,74434,2021,1
8358,주식회사흥진정공,74444,2018,1
8359,주식회사서정인터내셔날,74450,2021,1
8360,농업회사법인대원바이오(주),74451,2016,1
8361,제이에스하임(JS하임)주식회사,74452,2016,1
8362,(주)그렉스,74455,2022,1
8363,주식회사예일하이테크,74456,2019,1
8364,소신여객자동차주식회사,74457,2021,1
8365,무원엘에스주식회사,74458,2017,1
8366,광교라이프피에프브이(주),74460,2017,1
8367,네오밸류갈매피에프브이(주),74461,2017,1
8368,세종미래산업단지주식회사,74463,2016,1
8369,성심투자개발(주),74464,2016,1
8370,농업회사법인주식회사백송농원,74465,2016,1
8371,주식회사서주씨엔씨,74475,2020,1
8372,(주)세림종합건설,74477,2016,1
8373,(주)태광금속,74478,2021,1
8374,(주)진일테크,74481,2017,1
8375,에스피시멘트주식회사,74482,2020,1
8376,주식회사서림건설,74485,2016,1
8377,보성종합건설주식회사,74487,2016,1
8378,(주)중경미드타운,74488,2016,1
8379,주식회사휴먼블루시티,74492,2016,1
8380,청경그린산업(주),74493,2018,1
8381,주식회사명인건설,74494,2016,1
8382,(주)두영산기,74496,2022,1
8383,(주)세마스포츠마케팅,74499,2022,1
8384,주식회사천마산리담골든밸리,74503,2017,1
8385,(주)칸,74504,2016,1
8386,주식회사동유파트너스,74506,2016,1
8387,(주)월드스타,74507,2017,1
8388,주식회사범안,74509,2016,1
8389,하님주식회사,74513,2022,1
8390,(주)파트너에치앤에스,74518,2018,1
8391,주식회사와이제이씨,74520,2019,1
8392,(주)대신테크,74521,2020,1
8393,(주)메디헬프라인,74524,2016,1
8394,주식회사오즈오엔제이,74526,2016,1
8395,주식회사센트럴시티,74529,2022,1
8396,주식회사마하테크플러스,74530,2018,1
8397,토우산업(주),74531,2018,1
8398,엑스트라스페이스코리아양재(주),74535,2016,1
8399,샤프엘빗시스템즈에어로스페이스,74536,2016,1
8400,(주)디알하이텍,74548,2016,1
8401,주식회사가나토건,74564,2016,1
8402,주안레미콘(주),74565,2018,1
8403,(주)엔에프,74567,2020,1
8404,(주)내곡드림시티,74569,2017,1
8405,주식회사삼인개발,74575,2016,1
8406,지엘루비콘(주),74581,2022,1
8407,주식회사신화디앤씨,74582,2016,1
8408,(주)한울,74583,2022,1
8409,(주)성주에너지,74584,2019,1
8410,(주)아이덴티티엔터테인먼트,74585,2017,1
8411,한성에스앤아이주식회사,74588,2018,1
8412,와이에스개발(주),74590,2019,1
8413,문화칸타빌피에프브이주식회사,74592,2016,1
8414,부산벤처타워주식회사,74598,2016,1
8415,삼양강업(주),74602,2016,1
8416,에스씨엔지니어링(주),74603,2016,1
8417,민성스틸(주),74610,2016,1
8418,(주)도호,74611,2018,1
8419,에이치세븐디앤씨(주),74612,2021,1
8420,주식회사하얀,74613,2016,1
8421,주식회사해오름힐,74615,2016,1
8422,주식회사라이트리움,74616,2016,1
8423,주식회사중앙코리아,74619,2016,1
8424,주식회사리치플러스,74621,2019,1
8425,주식회사바른디앤디,74626,2020,1
8426,주식회사창승건설,74637,2016,1
8427,(주)명동에이엠씨,74647,2017,1
8428,주식회사태흥산업,74648,2016,1
8429,트윈픽스주식회사,74650,2016,1
8430,주식회사와이제이양지(YJ),74655,2018,1
8431,(주)동익인베스트먼트피에프브이,74656,2019,1
8432,(주)동탄미래,74657,2019,1
8433,주식회사케이제이,74658,2019,1
8434,쏘테크주식회사,74666,2022,1
8435,(주)도원투자개발,74667,2016,1
8436,주식회사동아씨네,74669,2020,1
8437,(주)생보우투신영임대주택제2호기업구조조정부동산투자회사,74673,2016,1
8438,주식회사미성개발,74676,2017,1
8439,(주)에스에스렌터카,74679,2016,1
8440,(주)에스에프이노베이션,74688,2022,1
8441,주식회사자우인터내셔널,74689,2016,1
8442,(주)인천도화위탁관리부동산투자회사,74695,2016,1
8443,주식회사동원산업,74712,2018,1
8444,주식회사테라,74715,2016,1
8445,주식회사포씨즈,74716,2016,1
8446,(주)희망가스충전소,74719,2017,1
8447,주식회사에이나인,74720,2016,1
8448,아름다움,74724,2016,1
8449,주식회사세현씨씨,74730,2016,1
8450,주식회사은성,74732,2020,1
8451,주식회사가양,74733,2021,1
8452,더콜로니(주),74744,2016,1
8453,(주)대일피씨,74748,2018,1
8454,(주)에스엠면세점,74750,2017,1
8455,주식회사록키,74753,2020,1
8456,키암코쉬핑케이엑스제일호주식회사,74755,2017,1
8457,주식회사강산우드컴,74757,2017,1
8458,서림,74767,2016,1
8459,기상산업주식회사,74780,2016,1
8460,(주)이화테크원,74781,2019,1
8461,넥스콘테크놀러지주식회사,74783,2017,1
8462,에스엠주택건설(주),74791,2018,1
8463,주식회사덱코,74797,2016,1
8464,엠스트림피에프브이주식회사,74801,2020,1
8465,불스원서비스주식회사,74820,2016,1
8466,(주)메디셀,74859,2017,1
8467,주식회사멈스,74860,2018,1
8468,(주)인사동마루,74870,2019,1
8469,(주)씨아이에스케미칼,74881,2017,1
8470,(주)헤드원,74914,2016,1
8471,희망드림학사,74957,2016,1
8472,이앤알파워홀딩스(주),74992,2017,1
8473,(주)뉴스테이허브제1호위탁관리부동산투자회사,75014,2017,1
8474,대산열병합발전주식회사,75121,2016,1
8475,한일통상(주),75207,2018,1
8476,주식회사폴루스,75233,2018,1
8477,주식회사쎄니팡,75252,2016,1
8478,(주)씨엘인터내셔널,75355,2018,1
8479,(주)리독스바이오,75404,2016,1
8480,(주)넷게임즈,75699,2015,1
8481,엘비라이프주식회사,75710,2017,1
8482,(주)한단정보통신,75714,2019,1
8483,주식회사한국기계거래소,75715,2017,1
8484,(주)바이오이즈,75720,2018,1
8485,디앤에이주식회사,75752,2017,1
8486,주식회사볼텍코리아,75753,2017,1
8487,주식회사대명하우징,75770,2018,1
8488,(주)공감영어플러스,75794,2019,1
8489,주식회사티에스오비,75799,2021,1
8490,주식회사광양인터내셔널물류센터,75804,2017,1
8491,주식회사푸드플래닛,75808,2021,1
8492,대광산업(주),75817,2017,1
8493,(주)태화프라텍,75824,2017,1
8494,(주)케이비에이치,75846,2017,1
8495,(주)유인케어,75847,2017,1
8496,(주)대민목재,75856,2020,1
8497,(주)도타이,75871,2019,1
8498,대상산업개발주식회사,75872,2017,1
8499,(주)호텔라온제나,75883,2018,1
8500,(주)메디톡스코리아,75895,2022,1
8501,주식회사제이엘케이인스펙션,75899,2017,1
8502,오켈케이블주식회사,75906,2017,1
8503,성담개발주식회사,75907,2020,1
8504,프리시젼바이오주식회사,75915,2018,1
8505,비청,75918,2017,1
8506,(주)중헌제약,75919,2017,1
8507,아피메즈주식회사,75940,2017,1
8508,오성듀랄루민(주),75944,2019,1
8509,홍대입구동교동프로젝트금융투자주식회사,75945,2017,1
8510,(주)코리아코스팩,75946,2020,1
8511,(주)나노인터페이스,75948,2018,1
8512,주식회사상아기연,75950,2018,1
8513,(주)에스제이켐,75956,2017,1
8514,전주리싸이클링에너지(주),75958,2018,1
8515,(주)레이저옵텍,75960,2018,1
8516,대륙개발(주),75963,2019,1
8517,주식회사인스파이어인티그레이티드리조트,75966,2018,1
8518,일진기업주식회사,75971,2020,1
8519,(주)영진관광,75974,2017,1
8520,주식회사파트론메카,75976,2019,1
8521,주식회사동현정밀,75981,2020,1
8522,명진산업개발(주),75989,2020,1
8523,주식회사키위컴퍼니,75993,2020,1
8524,주식회사어번트리,76006,2017,1
8525,(주)진우상사,76012,2017,1
8526,(주)도광무역,76016,2020,1
8527,롯데쇼핑타운대구(주),76019,2018,1
8528,주식회사에코트라움,76020,2018,1
8529,(주)디엘티,76030,2019,1
8530,제일리버스주식회사,76031,2017,1
8531,유진하이테크(주),76035,2017,1
8532,(주)제로웹,76036,2017,1
8533,주식회사케이엔코리아,76037,2021,1
8534,주식회사경주건설,76038,2020,1
8535,(주)용진,76041,2019,1
8536,(주)크레스라이트,76045,2020,1
8537,(주)에스케이지씨,76052,2018,1
8538,주식회사한연개발,76055,2021,1
8539,메르세데스벤츠모빌리티코리아주식회사,76062,2017,1
8540,(주)솔로몬이앤씨,76069,2021,1
8541,주식회사진셀팜,76071,2020,1
8542,주식회사다우케이아이디개발,76074,2017,1
8543,(주)조아물산,76075,2021,1
8544,뉴보은주식회사,76077,2020,1
8545,주식회사키글로벌홀딩스,76078,2018,1
8546,(주)슈퍼홀릭,76080,2017,1
8547,(주)진미선서아,76084,2019,1
8548,(주)엔텍시스템,76086,2017,1
8549,코토인베스트먼트주식회사,76087,2022,1
8550,(주)라이트팜텍,76100,2019,1
8551,주식회사에이엔비글로벌,76108,2018,1
8552,주식회사코스모앤컴퍼니,76120,2017,1
8553,한양이앤씨,76122,2017,1
8554,(주)월드오토,76127,2018,1
8555,(주)알지비,76129,2017,1
8556,(주)우성종합건설,76131,2021,1
8557,서아통상주식회사,76133,2019,1
8558,(주)라이테크,76134,2017,1
8559,비에스산업개발(주),76140,2020,1
8560,비에스홀딩스(주),76144,2020,1
8561,(주)레이전트리,76145,2019,1
8562,(주)다원넥스트,76147,2018,1
8563,코리아바나나프로젝트컬처디벨롭먼트주식회사,76155,2017,1
8564,일동히알테크(주),76163,2018,1
8565,엘케이개발주식회사,76169,2019,1
8566,현명개발(주),76171,2020,1
8567,주식회사에스엠피씨,76177,2017,1
8568,주식회사인프니스네트웍스,76190,2018,1
8569,소스트,76194,2017,1
8570,주식회사슈퍼홈마트,76197,2019,1
8571,주식회사아이비주택개발,76198,2021,1
8572,씨엔피브이파워코리아주식회사,76202,2019,1
8573,(주)대협스프레이,76206,2022,1
8574,대진통상주식회사,76208,2017,1
8575,(주)오디오링크,76209,2021,1
8576,주식회사미드,76213,2022,1
8577,(주)신흥플랜지,76221,2017,1
8578,(주)에이원상사,76230,2017,1
8579,(주)금하플러스,76231,2021,1
8580,주식회사노블레스해인,76232,2017,1
8581,대방일산디엠시티주식회사,76236,2017,1
8582,주식회사지비앤티,76238,2021,1
8583,(주)인성피앤비,76244,2017,1
8584,동안이노스(주),76246,2020,1
8585,제이아이금속(주),76250,2020,1
8586,큐브알앤디건설주식회사,76253,2020,1
8587,(주)가원,76266,2017,1
8588,(주)디티아이코리아,76267,2017,1
8589,주식회사루디아,76269,2017,1
8590,(주)정광,76273,2022,1
8591,에스알코퍼레이션주식회사,76284,2017,1
8592,(주)중화정밀,76287,2018,1
8593,(주)유승,76289,2022,1
8594,청산종합건설(주),76290,2018,1
8595,주식회사우민,76291,2017,1
8596,주식회사일등코리아,76295,2017,1
8597,주식회사아발론,76297,2017,1
8598,(주)녹원,76298,2017,1
8599,경림종합건설(주),76300,2020,1
8600,(주)티에이무역,76303,2018,1
8601,주식회사대원모방,76304,2021,1
8602,주식회사미래아이앤씨,76313,2017,1
8603,보람찬주식회사,76314,2020,1
8604,주식회사케이비엠산업,76315,2020,1
8605,주식회사하이텍홀딩스,76326,2018,1
8606,(주)트라움종합건설,76327,2019,1
8607,주식회사정원개발,76328,2018,1
8608,진영상사주식회사,76337,2017,1
8609,(주)북로드,76338,2021,1
8610,바바리안앤코주식회사,76341,2017,1
8611,주식회사보민,76351,2017,1
8612,범아기계공업주식회사,76352,2017,1
8613,(주)다우진유전자연구소,76355,2017,1
8614,주식회사아이빌씨앤씨,76370,2017,1
8615,문산행복주식회사,76371,2020,1
8616,씨지리테일,76372,2022,1
8617,주식회사다온,76373,2021,1
8618,주식회사유진운수,76374,2022,1
8619,(주)월드뷰건설,76393,2020,1
8620,한국기전금속(주),76397,2017,1
8621,사우스게이트하스피탤러티주식회사,76399,2017,1
8622,(주)씨엘투,76405,2017,1
8623,주식회사씨에스프리미어호텔서울,76406,2017,1
8624,한밭건설주식회사,76407,2019,1
8625,(주)헬스웰메디칼,76410,2017,1
8626,(주)스튜디오매크로그래프,76412,2018,1
8627,에스와이빌드(주),76414,2018,1
8628,주식회사네오메탈플러스,76420,2017,1
8629,(주)대일이엔피,76425,2018,1
8630,골든너트주식회사,76426,2017,1
8631,아이디앤플래닝그룹(주),76428,2021,1
8632,게이트타워에이엠씨주식회사,76430,2017,1
8633,(주)수지미래도시개발,76432,2022,1
8634,(주)두진아이디,76442,2017,1
8635,주식회사비디파트너스,76445,2017,1
8636,진양쏠라주식회사,76454,2017,1
8637,주식회사이지현대,76457,2019,1
8638,주식회사대호홀딩스,76459,2017,1
8639,(주)기수케이트레이딩,76461,2021,1
8640,주식회사에스아이테크,76468,2019,1
8641,주식회사아성코퍼레이션,76476,2018,1
8642,강백금속주식회사,76477,2018,1
8643,(주)대도산업건설,76493,2022,1
8644,(주)컨버전스티비,76504,2017,1
8645,(주)한밭컨설팅,76505,2019,1
8646,음성교통(주),76506,2017,1
8647,주식회사엠아이피플,76508,2020,1
8648,크리스탈생명과학주식회사,76509,2018,1
8649,주식회사나딕게임즈,76512,2021,1
8650,주식회사태진,76513,2018,1
8651,(주)부농산업,76521,2017,1
8652,세라코주식회사,76522,2022,1
8653,(주)에스와이제이,76529,2017,1
8654,주식회사쿠버스,76540,2019,1
8655,주식회사에디슨모터스,76543,2017,1
8656,(주)대훈산업건설,76544,2017,1
8657,(주)한강지앤씨,76546,2021,1
8658,주식회사지인씨앤씨,76547,2019,1
8659,광주남문장례식장(주),76548,2017,1
8660,주식회사남경플러스,76550,2017,1
8661,정호건설주식회사,76555,2022,1
8662,비티엘플러스,76558,2022,1
8663,주식회사아즈텍,76565,2021,1
8664,주식회사신방우리,76568,2017,1
8665,주식회사프라임타임,76575,2017,1
8666,(주)연일물산,76576,2022,1
8667,유앤남건축(주),76581,2020,1
8668,제1호서울시민햇빛발전소주식회사,76583,2017,1
8669,(주)젬,76585,2020,1
8670,(주)리오엘리,76586,2018,1
8671,비아로지스(주),76587,2020,1
8672,한양스틸프라자주식회사,76589,2019,1
8673,농업회사법인우일팜주식회사,76590,2017,1
8674,데스틴파워주식회사,76593,2021,1
8675,주식회사비알시티100,76596,2017,1
8676,케이에스솔라2호(주),76597,2017,1
8677,퓨쳐메디신주식회사,76598,2018,1
8678,푸른예산환경주식회사,76601,2017,1
8679,아이리스콥주식회사,76603,2017,1
8680,주)유월드,76612,2019,1
8681,(주)빅토리아도시개발,76616,2017,1
8682,포레스트건설주식회사,76617,2019,1
8683,주식회사엔게인,76623,2017,1
8684,(주)엔드림,76624,2017,1
8685,삼동개발(주),76629,2017,1
8686,동화전자공업주식회사,76632,2017,1
8687,명성개발,76634,2017,1
8688,(주)광원,76637,2017,1
8689,주식회사그린존,76642,2019,1
8690,삼운레저주식회사,76645,2017,1
8691,주식회사와이에스에이치기업,76650,2021,1
8692,(주)삼주씨엠,76657,2017,1
8693,주식회사지윤산업개발,76671,2021,1
8694,주식회사베이지박스투,76677,2022,1
8695,위례에스피씨주식회사,76678,2020,1
8696,(주)위례건설,76680,2017,1
8697,주식회사제이빌더스,76682,2020,1
8698,주식회사더원아이디,76684,2022,1
8699,안택건설주식회사,76685,2021,1
8700,주식회사광은전자,76687,2018,1
8701,경상산업개발주식회사,76689,2022,1
8702,국토전력주식회사,76695,2019,1
8703,주식회사한동산업,76699,2017,1
8704,(주)씨지투어,76700,2017,1
8705,(주)보담,76704,2017,1
8706,자일개발(주),76707,2019,1
8707,아름주택건설(주),76711,2017,1
8708,상신목재(주),76712,2017,1
8709,주식회사한남,76714,2021,1
8710,(주)플린트,76715,2020,1
8711,주식회사지앤지엔터프라이즈,76718,2021,1
8712,에이지티(주),76719,2017,1
8713,주식회사와이엔에스,76723,2017,1
8714,위례에이엠씨주식회사,76741,2017,1
8715,자연애벗(주),76746,2017,1
8716,거제돔관광호텔주식회사,76748,2018,1
8717,주식회사서울종합개발,76750,2019,1
8718,오성산업개발주식회사,76751,2017,1
8719,(주)무궁,76752,2020,1
8720,농업회사법인만나씨이에이(주),76757,2017,1
8721,(주)제이디솔루션,76758,2017,1
8722,(주)파워산업개발,76767,2017,1
8723,주식회사연경,76776,2017,1
8724,강진테크놀리지,76778,2020,1
8725,삼덕금속(주),76784,2019,1
8726,주식회사더밴,76787,2016,1
8727,주식회사동원섬유산업,76789,2022,1
8728,(주)오복전기,76801,2017,1
8729,태원오토텍주식회사,76806,2020,1
8730,주식회사세기글로벌,76821,2017,1
8731,주식회사온페이스에스디씨,76825,2018,1
8732,주식회사에스비디앤씨,76828,2019,1
8733,(주)한올파이낸스에너지,76832,2017,1
8734,(주)엠에스머트리얼즈,76835,2018,1
8735,명신개발주식회사,76836,2019,1
8736,주식회사범아,76837,2018,1
8737,주식회사제이에이치홀딩스,76838,2019,1
8738,주식회사한서울,76843,2017,1
8739,주식회사에스엠씨티,76845,2018,1
8740,엠티코리아(주),76848,2017,1
8741,주식회사하네자,76850,2020,1
8742,주식회사비케이종합개발컨설팅,76852,2017,1
8743,에이스바이오팜주식회사,76853,2017,1
8744,라이나코리아주식회사,76856,2017,1
8745,(주)홀리조이,76859,2017,1
8746,제이티비씨플러스주식회사,76860,2021,1
8747,메이비원(주),76861,2021,1
8748,의령풍력발전주식회사,76864,2017,1
8749,(주)유셀,76870,2017,1
8750,(주)어바인,76871,2022,1
8751,주식회사에스씨리싸이클링,76872,2019,1
8752,주식회사트라이랜드엔터프라이즈,76876,2017,1
8753,(주)혜성,76877,2019,1
8754,주식회사아이에스파트너스,76880,2017,1
8755,울릉도친환경에너지자립섬주식회사,76881,2018,1
8756,주식회사북한산스카이,76885,2017,1
8757,(주)청해,76888,2017,1
8758,(주)아이에이파워트론,76889,2018,1
8759,(주)지피아이,76890,2020,1
8760,주식회사우당,76895,2017,1
8761,주식회사국기,76896,2019,1
8762,(주)신라산업,76901,2017,1
8763,(주)유앤오일넷,76909,2017,1
8764,서진단조주식회사,76917,2017,1
8765,(주)디지자산관리,76920,2017,1
8766,주식회사에팩,76923,2017,1
8767,주식회사위드,76925,2017,1
8768,화경산업(주),76927,2018,1
8769,주식회사리치몬드,76931,2018,1
8770,청하개발주식회사,76932,2017,1
8771,초곡이앤씨(주),76938,2017,1
8772,디와이에스엠,76949,2018,1
8773,(주)화성여객,76952,2022,1
8774,아산신도시상가주식회사,76960,2017,1
8775,주식회사미영,76962,2021,1
8776,주식회사웅지산업개발,76964,2017,1
8777,주식회사파낙스,76966,2017,1
8778,주식회사메도니카,76967,2019,1
8779,(주)포항자동차매매단지,76968,2017,1
8780,(주)에이치투디앤아이,76978,2017,1
8781,(주)대륙상운,76981,2017,1
8782,(주)초초스팩토리,76984,2017,1
8783,주식회사건원종합건설,76986,2022,1
8784,주식회사에스더블유엠,76989,2021,1
8785,(주)경림에이치티시,76992,2018,1
8786,주식회사원파크,76993,2017,1
8787,주식회사더스토리컴퍼니,76995,2021,1
8788,(주)센트럴하임,77000,2017,1
8789,(주)금명,77004,2019,1
8790,바롬항공(주),77006,2017,1
8791,주식회사지원플러스,77007,2021,1
8792,대화항공산업주식회사,77017,2017,1
8793,(주)우앤리디피엠,77018,2020,1
8794,예지산업개발(주),77023,2017,1
8795,페스웰주식회사,77024,2017,1
8796,에스케이이전선(주),77030,2017,1
8797,주식회사정남쇼핑,77032,2018,1
8798,(주)일신피앤씨,77033,2017,1
8799,메디슈르,77039,2017,1
8800,(주)씨티건설,77043,2022,1
8801,(주)비티엑스,77044,2019,1
8802,킨앤파트너스(주),77049,2017,1
8803,주식회사금강리빙스텔개발,77050,2021,1
8804,케이알글로벌네트웍스주식회사,77052,2018,1
8805,(주)현대글로벌모터스,77056,2019,1
8806,(주)아이비씨파트너,77059,2017,1
8807,주식회사지구야고마워,77067,2017,1
8808,(주)디에스엘,77069,2017,1
8809,주식회사제주그린파워,77072,2018,1
8810,주식회사덕송,77075,2017,1
8811,태일산업(주),77076,2017,1
8812,주식회사에스디삼협,77080,2018,1
8813,(주)동백냉장,77081,2017,1
8814,주식회사동성로씨앤디,77082,2020,1
8815,(주)오토팩코리아,77084,2020,1
8816,주식회사아침해의료기,77091,2017,1
8817,구평산업개발주식회사,77093,2017,1
8818,주식회사코아전기,77094,2020,1
8819,주식회사금샘,77095,2017,1
8820,람정코리아주식회사,77105,2018,1
8821,(주)두리원텍,77106,2018,1
8822,에스엠알앤디주식회사,77118,2020,1
8823,주식회사델타,77124,2018,1
8824,(주)세안해운,77128,2017,1
8825,엠앤케이홀딩스주식회사,77132,2017,1
8826,로이스약품(주),77136,2017,1
8827,태성씨앰씨개발주식회사,77140,2017,1
8828,(주)스카이타워,77142,2018,1
8829,주식회사육일,77144,2017,1
8830,(주)세화씨엔씨,77146,2017,1
8831,주식회사지티엘,77147,2021,1
8832,(주)이주코리아,77150,2017,1
8833,(주)드림티엔에스,77152,2018,1
8834,주식회사리드파워,77157,2017,1
8835,(주)신원주택,77158,2017,1
8836,(주)큐젠바이오텍,77164,2019,1
8837,주식회사장수개발,77165,2019,1
8838,(주)대창건설,77168,2020,1
8839,주식회사엠제이파트너스,77174,2018,1
8840,(주)에이풀,77176,2019,1
8841,성우개발(주),77177,2017,1
8842,태성디앤에스(주),77186,2017,1
8843,(주)예광실업,77190,2021,1
8844,주식회사씨엔,77192,2017,1
8845,미산라이프,77198,2017,1
8846,(주)범진식품,77199,2017,1
8847,동남주물공업(주),77200,2017,1
8848,성지약품주식회사,77203,2019,1
8849,주식회사풍신상사,77205,2017,1
8850,인팩글로벌주식회사,77206,2019,1
8851,주식회사홍익개발공사,77213,2017,1
8852,계림종합건설주식회사,77217,2020,1
8853,주식회사다우,77218,2020,1
8854,(주)제이케이에스테이트,77222,2019,1
8855,주식회사스마트이앤씨,77228,2017,1
8856,주식회사연우라이프,77229,2020,1
8857,주식회사아라마루,77230,2022,1
8858,주식회사동구건설,77231,2020,1
8859,주식회사에스와이팀,77232,2017,1
8860,(주)인흥산업,77238,2017,1
8861,주식회사코리아골프프라자,77239,2017,1
8862,(주)삼동,77242,2017,1
8863,정관도서관운영(주),77244,2017,1
8864,주식회사사람과미래(P&F),77245,2017,1
8865,행복생활주식회사,77246,2017,1
8866,주식회사바론,77250,2017,1
8867,주식회사서우제이앤디,77252,2017,1
8868,아신유니텍(주),77253,2017,1
8869,(주)에이치비도시산업,77254,2017,1
8870,금오이엠에스(주),77263,2017,1
8871,주식회사태광판지,77272,2018,1
8872,딩스플래닛주식회사,77276,2017,1
8873,디지털타워주식회사,77284,2020,1
8874,공주메디컬센터(주),77285,2017,1
8875,주식회사삼진,77288,2021,1
8876,주식회사채움클래스,77289,2021,1
8877,주식회사고위드,77290,2017,1
8878,한라스틸산업(주),77297,2022,1
8879,지유안주식회사,77301,2017,1
8880,주식회사부루나,77303,2017,1
8881,주식회사대유정공,77309,2018,1
8882,주식회사면승,77310,2018,1
8883,(주)지에스인스텍,77312,2018,1
8884,(주)락스타,77314,2017,1
8885,주식회사지앤브이코스메틱,77316,2020,1
8886,동우특장차주식회사,77319,2019,1
8887,주식회사범어영타워,77321,2017,1
8888,케이티네트워크주식회사,77325,2017,1
8889,주식회사제이엔제이글로벌,77327,2017,1
8890,양문건설(주),77333,2017,1
8891,주식회사에너지세븐,77334,2018,1
8892,주식회사연임,77335,2017,1
8893,(주)제이케이씨도시개발,77337,2017,1
8894,(주)기남산업,77339,2019,1
8895,주식회사신우이앤디,77343,2017,1
8896,(주)려은,77352,2017,1
8897,(주)유시티건설,77356,2017,1
8898,(주)엘브이위본,77361,2017,1
8899,주식회사대호,77362,2021,1
8900,주식회사힐스,77363,2020,1
8901,(주)하나건드릴,77369,2017,1
8902,세한주식회사,77379,2017,1
8903,주식회사아름씨앤디,77380,2017,1
8904,골든산업개발주식회사,77382,2021,1
8905,엠아이앤디,77392,2017,1
8906,주식회사이천창고,77395,2017,1
8907,하나로산업개발(주),77396,2019,1
8908,(주)신기정공,77397,2019,1
8909,(주)신유개발,77402,2021,1
8910,(주)엔에스피,77403,2022,1
8911,주식회사월드드림랜드,77410,2017,1
8912,(주)한스웰시티,77414,2017,1
8913,주식회사그린나래에너지,77422,2017,1
8914,주식회사청음개발,77424,2017,1
8915,시티콘즈주식회사,77425,2020,1
8916,(주)플레이스엠,77426,2022,1
8917,엘아이주식회사,77432,2020,1
8918,나노믹아트(주),77439,2018,1
8919,주식회사바이오템,77440,2017,1
8920,지에스테크주식회사,77441,2018,1
8921,(주)유진기업,77447,2022,1
8922,주식회사프로젠,77469,2017,1
8923,(주)알텍,77472,2021,1
8924,부강레미콘주식회사,77473,2017,1
8925,주식회사탑크린,77475,2022,1
8926,이엠솔루션주식회사,77477,2018,1
8927,태남메디코스주식회사,77479,2019,1
8928,주식회사재호식품,77482,2020,1
8929,(주)엘브이아이파트너스,77486,2017,1
8930,주식회사동아,77488,2017,1
8931,주식회사다담솔루션,77489,2018,1
8932,디엔피코리아주식회사,77500,2017,1
8933,(주)동영관광,77501,2017,1
8934,주식회사더부러조은,77505,2017,1
8935,주식회사우남산업,77506,2017,1
8936,주식회사케이탑,77510,2017,1
8937,(주)에이치앤티디벨롭먼트,77513,2017,1
8938,휴코스코리아주식회사,77514,2017,1
8939,(주)스코노코리아,77524,2019,1
8940,(주)한국에이엠에프,77529,2017,1
8941,울림컴퍼니주식회사,77532,2019,1
8942,지오네이션주식회사,77535,2021,1
8943,에코텍서비스(주),77536,2018,1
8944,(주)중현씨앤씨,77537,2017,1
8945,주식회사에스엠티,77538,2017,1
8946,주식회사원일유통,77539,2022,1
8947,베일리컨벤션(주),77540,2022,1
8948,예래클리프개발주식회사,77542,2017,1
8949,(주)버즈빌,77544,2020,1
8950,주식회사청원이앤디,77554,2017,1
8951,아이오솔루션(주),77558,2018,1
8952,주식회사파크플라자,77560,2017,1
8953,청담종합건설(주),77561,2017,1
8954,주식회사지오아이엔디,77563,2017,1
8955,가창로지스틱스파크프로젝트금융투자주식회사,77564,2017,1
8956,오에스개발주식회사,77565,2021,1
8957,(주)우성티오티,77566,2021,1
8958,주식회사유당,77573,2017,1
8959,예광골재주식회사,77575,2017,1
8960,(주)성호엔지니어링,77578,2019,1
8961,주식회사한산매니지먼트,77585,2019,1
8962,(주)엠앤케이테크,77588,2018,1
8963,(주)한림테크,77590,2017,1
8964,(주)로파,77591,2021,1
8965,태진건설주식회사,77593,2017,1
8966,(주)동남홀딩스,77601,2017,1
8967,주식회사아쿠아리어스,77602,2021,1
8968,미성트루파트너스(주),77605,2019,1
8969,삼성메디코스주식회사,77606,2017,1
8970,제이아이개발(주),77611,2017,1
8971,(주)아인스,77612,2018,1
8972,주식회사디케이씨앤디,77614,2017,1
8973,중경산업기계(주),77617,2021,1
8974,대주지앤아이(주),77632,2019,1
8975,농업회사법인주식회사양주농축수산물도매시장,77636,2017,1
8976,주식회사윈하이벤드,77648,2020,1
8977,농업회사법인주식회사산수골농장,77654,2018,1
8978,주식회사리아타운,77655,2018,1
8979,주식회사아미코스메틱,77656,2022,1
8980,주식회사투게더홀딩스,77657,2021,1
8981,주식회사맑음,77661,2017,1
8982,엠플러스에프앤씨(주),77663,2021,1
8983,(주)우진엠엔디,77665,2017,1
8984,(주)더채움아이앤씨,77667,2017,1
8985,지유앤시스템즈주식회사,77668,2017,1
8986,주식회사에스알건설,77670,2020,1
8987,(주)선우시스,77674,2017,1
8988,주식회사메트로폴리스,77677,2017,1
8989,주식회사다올자산개발,77680,2020,1
8990,주식회사동진아이앤드디,77684,2017,1
8991,주식회사스타포드인,77686,2017,1
8992,주식회사한원,77687,2017,1
8993,농업회사법인알로돈주식회사,77691,2017,1
8994,주식회사퍼스트유,77692,2017,1
8995,에코장안일반산업단지개발(주),77697,2017,1
8996,봉담개발주식회사,77704,2017,1
8997,우리산업개발(주),77706,2017,1
8998,보성알앤디,77711,2018,1
8999,(주)에스컨벤션,77713,2017,1
9000,뉴에스티에스,77717,2018,1
